cve,repo,commit list,Merge,Mirror,Better Solution,Fixing-of-Fixing,Collaboration,Separation
CVE-2022-31163,tzinfo_tzinfo,"9eddbb5
9905ca9",,{'9eddbb5c0e682736f61d0dd803b6031a5db9eadf': ['9905ca93abf7bf3e387bd592406e403cd18334c7']},,,,
CVE-2022-31193,DSpace_DSpace,"f775845
5f72424",,{'f7758457b7ec3489d525e39aa753cc70809d9ad9': ['5f72424a478f59061dcc516b866dcc687bc3f9de']},,,,
CVE-2022-31195,DSpace_DSpace,"56e7604
7af52a0",,{'7af52a0883a9dbc475cf3001f04ed11b24c8a4c0': ['56e76049185bbd87c994128a9d77735ad7af0199']},,,,
CVE-2022-35414,qemu_qemu,"418ade7
3517fb7",,,,,,"['418ade7849ce7641c0f7333718caf5091a02fd4c', '3517fb726741c109cae7995f9ea46f0cab6187d6']"
CVE-2022-35932,nextcloud_spreed,"04300bb
f5ac739
10341b9","{'04300bbed0e87ff3420b5d752bbc48e2c15f35e9': ['10341b9fe59a44ae0d139c072abd6b5026f33771'], 'f5ac73940f9f683b11e518d1c54150bf50dab9be': ['10341b9fe59a44ae0d139c072abd6b5026f33771']}",{'04300bbed0e87ff3420b5d752bbc48e2c15f35e9': ['f5ac73940f9f683b11e518d1c54150bf50dab9be']},,,,
CVE-2022-36014,tensorflow_tensorflow,"a0f0b9a
3a75474",,,,,,"['a0f0b9a21c9270930457095092f558fbad4c03e5', '3a754740d5414e362512ee981eefba41561a63a6']"
CVE-2022-36045,NodeBB_NodeBB,"81e3c1b
e802fab",,{'e802fab87f94a13f397f04cfe6068f2f7ddf7888': ['81e3c1ba488d03371a5ce8d0ebb5c5803026e0f9']},,,,
CVE-2022-39201,grafana_grafana,"c658816
b571acc",,{'c658816f5229d17f877579250c07799d3bbaebc9': ['b571acc1dc130a33f24742c1f93b93216da6cf57']},,,,
CVE-2022-39280,pyupio_dparse,"8c99017
d87364f",{'8c990170bbd6c0cf212f1151e9025486556062d5': ['d87364f9db9ab916451b1b036cfeb039e726e614']},,,,,
CVE-2022-39285,ZoneMinder_zoneminder,"c0a4c05
d289eb4",,,,,,"['c0a4c05e84eea0f6ccf7169c014efe5422c9ba0d', 'd289eb48601a76e34feea3c1683955337b1fae59']"
CVE-2022-39348,twisted_twisted,"f2f5e81
f49041b","{""f2f5e81c03f14e253e85fe457e646130780db40b"": [""f49041bb67792506d85aeda9cf6157e92f8048f4""]}",,,,,
CVE-2022-39357,wintercms_winter,"2a13faf
bce4b59",,"{""2a13faf99972e84c9661258f16c4750fa99d29a1"": [""bce4b59584abf961e9400af3d7a4fd7638e26c7f""]}",,,,
CVE-2022-41909,tensorflow_tensorflow,"660ce5a
bf594d0",,,,,,"['660ce5a89eb6766834bdc303d2ab3902aef99d3d', 'bf594d08d377dc6a3354d9fdb494b32d45f91971']"
CVE-2022-41940,socketio_engine.io,"83c4071
425e833",,"{""425e833ab13373edf1dd5a0706f07100db14e3c6"": [""83c4071af871fc188298d7d591e95670bf9f9085""]}",,,,
CVE-2022-45182,AndyTaylorTweet_Pi-Star_DV_Dash,"0ad7d00
5aa194d
1e46533",,,"{""1e46533f4051648bc40478d99201f19241bbaa41"": [""0ad7d00210fc2c0eb7073e5ed429ac265ccfebbd""]}",,,"['0ad7d00210fc2c0eb7073e5ed429ac265ccfebbd', '5aa194df3dfc92cc21f6604bbda32268f4a624ce']"
CVE-2022-46171,tauri-apps_tauri,"f0602e7
72389b0",,"{""f0602e7c294245ab6ef6fbf2a976ef398340ef58"": [""72389b00d7b495ffd7750eb1e75a3b8537d07cf3""]}",,,,
CVE-2022-46177,discourse_discourse,"4bf306f
8394421",,{'83944213b2b2454af80d0407f60d67641b1f0b38': ['4bf306f0e3bf54a9ef9c5886bf1cfb85c20da570']},,,,
CVE-2023-0459,torvalds_linux,"4b842e4
74e19ef",,,,,,"['4b842e4e25b12951fa10dedb4bc16bc47e3b850c', '74e19ef0ff8061ef55957c3abd71614ef0f42f47']"
CVE-2023-1801,the-tcpdump-group_tcpdump,"03c037b
7578e1c",,{'7578e1c04ee280dda50c4c2813e7d55f539c6501': ['03c037bbd75588beba3ee09f26d17783d21e30bc']},,,,
CVE-2023-23622,discourse_discourse,"105fee9
ecb9aa5",,{'105fee978d73b0ec23ff814a09d1c0c9ace95164': ['ecb9aa5dba94741d9579f4f873f0675f48b4184f']},,,,
